day,PP_F0,PP_F0_M,PP_F0_SD,PP_F0_SD_M,PP_LHR,PP_LHR_M,PP_CPP_M,PP_CPP_M2,PP_CPP_SD_M,PP_HNR,PP_HNR_M,PP_JIT_local,PP_JIT_abs,PP_JIT_rap,PP_JIT_ppq5,PP_JIT_ddp,PP_JIT_M_local,PP_JIT_M_abs,PP_JIT_M_rap,PP_JIT_M_ppq5,PP_JIT_M_ddp,PP_SHI_local,PP_SHI_localdb,PP_SHI_apq3,PP_SHI_apq5,PP_SHI_apq11,PP_SHI_dda,PP_SHI_M_local,PP_SHI_M_localdb,PP_SHI_M_apq3,PP_SHI_M_apq5,PP_SHI_M_apq11,PP_SHI_M_dda,PP_GF1_MEA,PP_GF2_MEA,PP_GF3_MEA,PP_GF4_MEA,PP_GF5_MEA,PP_GF1_MED,PP_GF2_MED,PP_GF3_MED,PP_GF4_MED,PP_GF5_MED,PP_GF1_SD,PP_GF2_SD,PP_GF3_SD,PP_GF4_SD,PP_GF5_SD,PP_F1_MEA,PP_F2_MEA,PP_F3_MEA,PP_F4_MEA,PP_F5_MEA,PP_F1_MED,PP_F2_MED,PP_F3_MED,PP_F4_MED,PP_F5_MED,PP_F1_SD,PP_F2_SD,PP_F3_SD,PP_F4_SD,PP_F5_SD,DV_PHO_avg DF0,DV_PHO_avg DDF0,DV_PHO_avg Jitter,DV_PHO_avg Shimmer,DV_PHO_avg apq,DV_PHO_avg ppq,DV_PHO_avg logE,DV_PHO_std DF0,DV_PHO_std DDF0,DV_PHO_std Jitter,DV_PHO_std Shimmer,DV_PHO_std apq,DV_PHO_std ppq,DV_PHO_std logE,DV_PHO_skewness DF0,DV_PHO_skewness DDF0,DV_PHO_skewness Jitter,DV_PHO_skewness Shimmer,DV_PHO_skewness apq,DV_PHO_skewness ppq,DV_PHO_skewness logE,DV_PHO_kurtosis DF0,DV_PHO_kurtosis DDF0,DV_PHO_kurtosis Jitter,DV_PHO_kurtosis Shimmer,DV_PHO_kurtosis apq,DV_PHO_kurtosis ppq,DV_PHO_kurtosis logE,DV_GLO_global avg var GCI,DV_GLO_global avg avg NAQ,DV_GLO_global avg std NAQ,DV_GLO_global avg avg QOQ,DV_GLO_global avg std QOQ,DV_GLO_global avg avg H1H2,DV_GLO_global avg std H1H2,DV_GLO_global avg avg HRF,DV_GLO_global avg std HRF,DV_GLO_global std var GCI,DV_GLO_global std avg NAQ,DV_GLO_global std std NAQ,DV_GLO_global std avg QOQ,DV_GLO_global std std QOQ,DV_GLO_global std avg H1H2,DV_GLO_global std std H1H2,DV_GLO_global std avg HRF,DV_GLO_global std std HRF,DV_GLO_global skewness var GCI,DV_GLO_global skewness avg NAQ,DV_GLO_global skewness std NAQ,DV_GLO_global skewness avg QOQ,DV_GLO_global skewness std QOQ,DV_GLO_global skewness avg H1H2,DV_GLO_global skewness std H1H2,DV_GLO_global skewness avg HRF,DV_GLO_global skewness std HRF,DV_GLO_global kurtosis var GCI,DV_GLO_global kurtosis avg NAQ,DV_GLO_global kurtosis std NAQ,DV_GLO_global kurtosis avg QOQ,DV_GLO_global kurtosis std QOQ,DV_GLO_global kurtosis avg H1H2,DV_GLO_global kurtosis std H1H2,DV_GLO_global kurtosis avg HRF,DV_GLO_global kurtosis std HRF
0,152.0078297040758,151.74812601420717,2.7239734918217424,1.959815096605215,10.899685279574726,9.266391279306838,0.1272105801777782,0.1264674392417129,0.027929770538674004,12.724749738124661,13.686776187610922,0.003766324011975932,2.476728837336237e-05,0.002061051911989067,0.0020699119559199437,0.006183155735967201,0.00249856615235712,1.6565776133820043e-05,0.0013341491175582363,0.00149150098148213,0.004002447352674709,0.036198474851077134,0.036198474851077134,0.018887973847499694,0.02170430571461591,0.030042706051187397,0.05666392154249908,0.040436621763559874,0.040436621763559874,0.02130189682652168,0.02611318894775206,0.03390950345422048,0.06390569047956504,324.99268259045607,2250.328367829104,3001.6326934094186,3562.402131513835,4488.334906493405,314.24283225774764,2252.848879433659,3009.5925583151757,3530.2745613327506,4480.651679231725,136.35499448078298,56.17519625024179,70.29857316402243,164.10963952172153,116.9110108095687,319.3776704213643,2246.927860182666,2998.560950937015,3558.4592930115314,4488.075387264085,314.12537948821205,2252.2634643877027,3004.821947219055,3531.076925054772,4479.012680942453,69.21830486130841,38.3216811897411,62.138816503822014,146.9311905877632,106.3626816338957,-0.04180758446455002,0.01546478271484375,0.4771461907606413,1.6327846428666268,4.672921833051637,0.3209753432211136,-20.884321202931087,1.0326931476593018,1.268227219581604,0.4191816898386703,2.5860385320829287,3.6792726292022624,0.27037362503589063,1.7284624622015397,-0.3943239661527199,0.3568142557583788,1.9961183599544374,4.240890533313836,1.0976649347834377,2.0406660664752314,-0.8095640499505203,2.112340759452234,1.7493344764001293,5.867498375066237,26.458722695731552,1.2042911696819614,6.619060648249141,11.40397176299941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,182.77716360042774,182.4552226532097,4.865341227936052,3.218916869632728,8.575672300384658,10.441285259684573,0.0566840290503445,0.05461369713172898,0.015297579692722683,8.244627755567908,9.497516541829341,0.008370572782138503,4.586024975356943e-05,0.004462080793771881,0.004586708090697317,0.013386242381315642,0.006745669703539307,3.693020665150568e-05,0.003927447230221121,0.0038213608146363894,0.011782341690663365,0.06563591222694598,0.06563591222694598,0.03198906540963118,0.038495078777241766,0.05627445769355814,0.09596719622889355,0.049216471508267204,0.049216471508267204,0.023395367708053727,0.02788380400893722,0.04230191494085756,0.07018610312416118,362.3152041315433,2711.4029290311005,2990.3420576447093,3469.434403249095,3809.221897692024,360.8570946860609,2713.281030619606,2995.7265148302004,3495.873820135931,3768.041253000888,12.69091686073374,36.88187450452334,100.47066743590226,163.84556332807836,212.24243955166426,361.9841372668249,2711.092030875717,2991.234853815904,3464.573072507682,3792.303144971456,360.5728044511883,2711.6215387819248,2994.102608416397,3487.8326453731434,3762.6261756357985,12.386578974797304,35.88658122789646,90.83154541480266,150.55138486144457,171.32006237775298,-0.1025397777557373,0.05953090265393257,0.9194304281094605,3.611013714482054,9.812318791093634,0.6817446050462745,-17.792521635367244,2.924990653991699,3.8961050510406494,1.1246857887625095,4.321346235475001,6.687530969618703,0.8861449986218919,3.1237212837915633,-0.5821166386205588,0.280894301471276,2.2314214752862105,1.6437690733603798,0.45669615156247045,3.33275566224871,-0.011630148917125533,3.9650191395953867,9.485990132046158,4.984696486476792,2.5999761441999043,-0.4579875903294237,12.751471198539207,-0.3305998214352295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,163.61450894903356,164.2495059528895,7.885186297385377,1.4220725485044572,8.779092174968511,6.319764550766747,0.15948335568938937,0.16538564966067237,0.03835819778592543,10.502228400117843,10.919137952763128,0.003444195060216216,2.1076248068749698e-05,0.0016094527178122412,0.001595687506053051,0.004828358153436724,0.002323964092367883,1.4125297962621972e-05,0.0012148122838034183,0.0013100096540852755,0.003644436851410255,0.05266473098796729,0.05266473098796729,0.027804591913043412,0.03307511468957722,0.04284934490886344,0.08341377573913024,0.047454431102678295,0.047454431102678295,0.02711592719843873,0.030326207336339783,0.034231218821225734,0.0813477815953162,311.02533504082373,2249.389279593482,2862.6058325720915,3607.0623177024463,4404.452811072342,314.8460971443589,2251.663926268373,2874.4697289771384,3614.780140951507,4377.252418326631,18.02920588131639,24.671189086769367,65.60631740250416,165.8513825805816,150.85389207156769,311.06445355411176,2248.938186075555,2862.9705080991052,3606.197351735936,4403.387253604639,314.1529447272755,2250.2106087120515,2875.946850701449,3620.3347539165625,4378.1318845332935,17.399168686812768,23.91621391144575,64.04144257800772,163.14865401423748,136.94384934788872,0.15701481699943542,0.11940909922122955,0.5595501921494377,1.7721508684395655,3.980489532546414,0.3821518442776566,-19.064689848234114,2.1636569499969482,1.9375215768814087,0.9637269030057827,2.6528295440910963,3.6305950312413517,0.3542552233331054,1.9732719067313846,5.586381709658182,3.0441573252261596,7.832236986459055,2.827372983480643,1.693317047780061,1.8954056924745015,-0.3471057961716872,51.66491956383991,23.58534382947622,76.95752909009252,9.950611321205969,3.403364796919881,3.541013495481864,8.331018853532616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
