,mic_pair,mean_cosine_distance,mean_cosine_similarity,id,exercise
0,1-2,0.26047083458660414,0.7395291654133959,67,VOW_a
1,1-3,0.16175996634671697,0.838240033653283,67,VOW_a
2,2-3,0.24795951845868125,0.7520404815413188,67,VOW_a
3,1-2,0.5543565502785598,0.4456434497214402,68,VOW_a
4,1-3,0.3363973483377458,0.6636026516622542,68,VOW_a
5,2-3,0.8975797152891263,0.10242028471087378,68,VOW_a
6,1-2,0.5653265134484862,0.43467348655151383,69,VOW_a
7,1-3,0.16552760162776292,0.8344723983722371,69,VOW_a
8,2-3,0.49361839390624096,0.506381606093759,69,VOW_a
9,1-2,0.20935992485164212,0.7906400751483579,70,VOW_a
10,1-3,0.16802466875883493,0.8319753312411651,70,VOW_a
11,2-3,0.21673326659074943,0.7832667334092506,70,VOW_a
12,1-2,0.41957091205491015,0.5804290879450898,71,VOW_a
13,1-3,0.12760743625348647,0.8723925637465135,71,VOW_a
14,2-3,0.4030838798064452,0.5969161201935548,71,VOW_a
15,1-2,0.5216132916796186,0.4783867083203815,72,VOW_a
16,1-3,0.22721042958346227,0.7727895704165377,72,VOW_a
17,2-3,0.48573989432934195,0.514260105670658,72,VOW_a
18,1-2,0.20755806537831112,0.7924419346216889,73,VOW_a
19,1-3,0.3012387544773567,0.6987612455226433,73,VOW_a
20,2-3,0.4219890020674454,0.5780109979325546,73,VOW_a
21,1-2,0.7426045466489573,0.2573954533510428,74,VOW_a
22,1-3,0.18969379487063842,0.8103062051293616,74,VOW_a
23,2-3,0.45684928484809373,0.5431507151519063,74,VOW_a
24,1-2,0.26411793340836875,0.7358820665916312,75,VOW_a
25,1-3,0.4821353074373288,0.5178646925626712,75,VOW_a
26,2-3,0.48088460178607706,0.5191153982139229,75,VOW_a
27,1-2,0.6535785968511438,0.3464214031488562,76,VOW_a
28,1-3,0.7856400226558462,0.21435997734415377,76,VOW_a
29,2-3,0.8774754402350512,0.12252455976494876,76,VOW_a
30,1-2,0.4963293842498502,0.5036706157501498,77,VOW_a
31,1-3,0.4446639695227632,0.5553360304772368,77,VOW_a
32,2-3,0.7300109911204565,0.26998900887954347,77,VOW_a
33,1-2,0.11575572008851964,0.8842442799114804,67,VOW_e
34,1-3,0.08416790236047123,0.9158320976395288,67,VOW_e
35,2-3,0.18448299375323718,0.8155170062467628,67,VOW_e
36,1-2,0.6703569052253808,0.32964309477461917,68,VOW_e
37,1-3,0.8897241894680622,0.11027581053193776,68,VOW_e
38,2-3,1.3618818625731919,-0.36188186257319194,68,VOW_e
