,mic_pair,mean_cosine_distance,mean_cosine_similarity,id,exercise
115,1-3,0.2491006726495399,0.75089932735046,72,VOW_e
116,2-3,0.3460899202330628,0.6539100797669372,72,VOW_e
147,1-2,0.23798895717044,0.76201104282956,72,VOW_i
148,1-3,0.1581961969123331,0.8418038030876669,72,VOW_i
149,2-3,0.1793925152497512,0.8206074847502488,72,VOW_i
180,1-2,0.9734969439629948,0.0265030560370053,72,VOW_o
181,1-3,0.201779083034068,0.798220916965932,72,VOW_o
182,2-3,0.8759325033584666,0.1240674966415333,72,VOW_o
213,1-2,0.232893786661363,0.7671062133386369,72,VOW_u
214,1-3,0.467347058202967,0.5326529417970329,72,VOW_u
215,2-3,0.5018239093627614,0.4981760906372386,72,VOW_u
30,1-2,0.4794820414247424,0.5205179585752576,73,SEN
31,1-3,0.797804840664154,0.2021951593358459,73,SEN
32,2-3,0.5983257833898503,0.4016742166101497,73,SEN
63,1-2,0.3382651491187299,0.66173485088127,73,SPN
64,1-3,0.6353727616101736,0.3646272383898263,73,SPN
65,2-3,0.5933078002567729,0.4066921997432271,73,SPN
96,1-2,0.201273125778054,0.798726874221946,73,VOW_a
97,1-3,0.2962689542036271,0.7037310457963729,73,VOW_a
98,2-3,0.4149298125073809,0.5850701874926191,73,VOW_a
129,1-2,0.0649946101554295,0.9350053898445704,73,VOW_e
130,1-3,0.42358987858343,0.57641012141657,73,VOW_e
131,2-3,0.4237473382457454,0.5762526617542546,73,VOW_e
162,1-2,0.0817492229873259,0.918250777012674,73,VOW_i
163,1-3,0.1531339578844412,0.8468660421155587,73,VOW_i
164,2-3,0.2208014539812857,0.7791985460187143,73,VOW_i
195,1-2,0.2609254644485868,0.7390745355514132,73,VOW_o
196,1-3,1.0040643453586282,-0.0040643453586281,73,VOW_o
197,2-3,1.2424507810079968,-0.2424507810079968,73,VOW_o
228,1-2,0.5453621274114495,0.4546378725885504,73,VOW_u
229,1-3,0.74616486723349,0.25383513276651,73,VOW_u
230,2-3,0.1988032433369293,0.8011967566630707,73,VOW_u
18,1-2,0.9088764885803132,0.0911235114196868,74,SEN
19,1-3,0.7815636852384535,0.2184363147615464,74,SEN
20,2-3,0.8451242746656846,0.1548757253343153,74,SEN
51,1-2,0.9298014512100964,0.0701985487899034,74,SPN
52,1-3,0.729455794817768,0.270544205182232,74,SPN
53,2-3,0.8127135257040086,0.1872864742959915,74,SPN
84,1-2,0.7240825513347153,0.2759174486652846,74,VOW_a
85,1-3,0.1859702505187543,0.8140297494812456,74,VOW_a
86,2-3,0.4369302796658546,0.5630697203341454,74,VOW_a
117,1-2,0.4551602722184497,0.5448397277815503,74,VOW_e
118,1-3,0.1038675285459197,0.8961324714540803,74,VOW_e
119,2-3,0.3860471912750413,0.6139528087249587,74,VOW_e
150,1-2,0.400289487408334,0.599710512591666,74,VOW_i
151,1-3,0.1409603005054736,0.8590396994945264,74,VOW_i
152,2-3,0.3568464808651007,0.6431535191348993,74,VOW_i
183,1-2,0.1930438979026794,0.8069561020973206,74,VOW_o
184,1-3,0.2055919802231793,0.7944080197768206,74,VOW_o
185,2-3,0.3527313121188511,0.6472686878811489,74,VOW_o
216,1-2,0.1262514027587923,0.8737485972412077,74,VOW_u
217,1-3,0.5931444555218622,0.4068555444781377,74,VOW_u
218,2-3,0.760622155629348,0.239377844370652,74,VOW_u
21,1-2,0.55356857787831,0.4464314221216899,75,SEN
22,1-3,0.8246318049602501,0.1753681950397498,75,SEN
23,2-3,0.7424368048487215,0.2575631951512784,75,SEN
54,1-2,0.4269386749184124,0.5730613250815876,75,SPN
55,1-3,0.6413688357456426,0.3586311642543573,75,SPN
56,2-3,0.743168905632878,0.256831094367122,75,SPN
87,1-2,0.2361894792166099,0.7638105207833901,75,VOW_a
88,1-3,0.4184573272211731,0.5815426727788269,75,VOW_a
89,2-3,0.4256193904497944,0.5743806095502055,75,VOW_a
120,1-2,0.2637306284400613,0.7362693715599387,75,VOW_e
121,1-3,0.9347558274198674,0.0652441725801326,75,VOW_e
122,2-3,1.175053428358362,-0.1750534283583619,75,VOW_e
153,1-2,0.5098650300207997,0.4901349699792002,75,VOW_i
154,1-3,0.3634010784478897,0.6365989215521103,75,VOW_i
