id,mic,exercise,day,PP_F0,PP_F0_M,PP_F0_SD,PP_F0_SD_M,PP_LHR,PP_LHR_M,PP_CPP_M,PP_CPP_M2,PP_CPP_SD_M,PP_HNR,PP_HNR_M,PP_JIT_local,PP_JIT_abs,PP_JIT_rap,PP_JIT_ppq5,PP_JIT_ddp,PP_JIT_M_local,PP_JIT_M_abs,PP_JIT_M_rap,PP_JIT_M_ppq5,PP_JIT_M_ddp,PP_SHI_local,PP_SHI_localdb,PP_SHI_apq3,PP_SHI_apq5,PP_SHI_apq11,PP_SHI_dda,PP_SHI_M_local,PP_SHI_M_localdb,PP_SHI_M_apq3,PP_SHI_M_apq5,PP_SHI_M_apq11,PP_SHI_M_dda,PP_GF1_MEA,PP_GF2_MEA,PP_GF3_MEA,PP_GF4_MEA,PP_GF5_MEA,PP_GF1_MED,PP_GF2_MED,PP_GF3_MED,PP_GF4_MED,PP_GF5_MED,PP_GF1_SD,PP_GF2_SD,PP_GF3_SD,PP_GF4_SD,PP_GF5_SD,PP_F1_MEA,PP_F2_MEA,PP_F3_MEA,PP_F4_MEA,PP_F5_MEA,PP_F1_MED,PP_F2_MED,PP_F3_MED,PP_F4_MED,PP_F5_MED,PP_F1_SD,PP_F2_SD,PP_F3_SD,PP_F4_SD,PP_F5_SD,DV_PHO_avg DF0,DV_PHO_avg DDF0,DV_PHO_avg Jitter,DV_PHO_avg Shimmer,DV_PHO_avg apq,DV_PHO_avg ppq,DV_PHO_avg logE,DV_PHO_std DF0,DV_PHO_std DDF0,DV_PHO_std Jitter,DV_PHO_std Shimmer,DV_PHO_std apq,DV_PHO_std ppq,DV_PHO_std logE,DV_PHO_skewness DF0,DV_PHO_skewness DDF0,DV_PHO_skewness Jitter,DV_PHO_skewness Shimmer,DV_PHO_skewness apq,DV_PHO_skewness ppq,DV_PHO_skewness logE,DV_PHO_kurtosis DF0,DV_PHO_kurtosis DDF0,DV_PHO_kurtosis Jitter,DV_PHO_kurtosis Shimmer,DV_PHO_kurtosis apq,DV_PHO_kurtosis ppq,DV_PHO_kurtosis logE,DV_GLO_global avg var GCI,DV_GLO_global avg avg NAQ,DV_GLO_global avg std NAQ,DV_GLO_global avg avg QOQ,DV_GLO_global avg std QOQ,DV_GLO_global avg avg H1H2,DV_GLO_global avg std H1H2,DV_GLO_global avg avg HRF,DV_GLO_global avg std HRF,DV_GLO_global std var GCI,DV_GLO_global std avg NAQ,DV_GLO_global std std NAQ,DV_GLO_global std avg QOQ,DV_GLO_global std std QOQ,DV_GLO_global std avg H1H2,DV_GLO_global std std H1H2,DV_GLO_global std avg HRF,DV_GLO_global std std HRF,DV_GLO_global skewness var GCI,DV_GLO_global skewness avg NAQ,DV_GLO_global skewness std NAQ,DV_GLO_global skewness avg QOQ,DV_GLO_global skewness std QOQ,DV_GLO_global skewness avg H1H2,DV_GLO_global skewness std H1H2,DV_GLO_global skewness avg HRF,DV_GLO_global skewness std HRF,DV_GLO_global kurtosis var GCI,DV_GLO_global kurtosis avg NAQ,DV_GLO_global kurtosis std NAQ,DV_GLO_global kurtosis avg QOQ,DV_GLO_global kurtosis std QOQ,DV_GLO_global kurtosis avg H1H2,DV_GLO_global kurtosis std H1H2,DV_GLO_global kurtosis avg HRF,DV_GLO_global kurtosis std HRF
72,1,VOW_o,0,129.64090748347644,129.46405433509617,2.619481851546941,1.5800165467942204,15.482207911087734,18.88992531798102,0.1144021445063864,0.1126919197085356,0.0301952458329043,16.264292432326013,18.39518364426712,0.0033786554624956,2.606201131892436e-05,0.0014471158881869,0.0017380406781061,0.0043413476645607,0.002656806748512,2.068546595706826e-05,0.0012618888828574,0.0014807662475123,0.0037856666485722,0.0277800466839424,0.0277800466839424,0.0114509446585082,0.0154629046744787,0.0293626590552721,0.0343528339755248,0.0231547040262872,0.0231547040262872,0.0102369840046263,0.0144843949157023,0.0234078688030214,0.030710952013879,648.852900143496,1366.9059817540476,2520.046847042709,3456.622163613991,4512.998200789675,550.3353576927542,1045.8477560640877,2277.000755250537,3264.23191147583,4532.475144152505,228.2330356755692,525.4175863048938,431.3676982140234,390.9415682469131,179.4706882883491,647.8878174305459,1368.1133888440395,2521.299168360263,3458.403605562097,4513.142635756211,550.1049613539845,1046.0270005110326,2279.070428919268,3267.898838733536,4537.530491762786,219.55705252912657,513.1673803566604,423.111886225651,369.05149582614735,169.36794487961157,-0.0708370432257652,-0.049657791852951,0.7111773004673887,1.617068276195444,4.5376038371585485,0.5005153665764475,-19.507302008222275,1.3961830139160156,1.9698905944824217,0.6754660200422247,2.2690030496613227,4.031526311072045,0.4304790419237356,3.078906185773924,0.3272703538645542,-0.531011136619178,1.7719431261139016,2.8410661295491835,1.7432087114052337,1.4464338596885,0.2222985130795327,1.9771671796675945,1.3851208346901274,3.556643881003784,11.331340796352174,3.7695301581838345,2.055438632364045,0.21447098752096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,VOW_o,1,113.56137673267308,113.53253201176032,1.3668534583731966,1.0118888396150345,16.922747424790238,18.07458789965221,0.0950056314057719,0.0934553261202932,0.0204977919225528,15.736858827972284,15.53617103627794,0.0041728923809239,3.674455685254382e-05,0.002175405831281,0.0023928497054233,0.0065262174938432,0.0050975209632972,4.485742739608663e-05,0.0029410783997705,0.0027654044065047,0.0088232351993115,0.0442161817633208,0.0442161817633208,0.0203985963127176,0.0271204333731365,0.0453777103360867,0.0611957889381528,0.04135278024177,0.04135278024177,0.0195695469858189,0.0269699234506882,0.0493773204037411,0.0587086409574569,693.2442169706549,1520.8623435648778,2672.9198885152978,3423.873388038347,3888.873192314673,528.277354260415,1104.7437867267322,2441.542699161855,3285.1023474044896,3861.493734417693,293.6814641190422,517.831519370291,504.711238422264,318.6843081079128,293.78857250838445,678.864312713741,1505.473057289178,2659.634039284952,3414.403734898955,3901.078836846728,579.6090369906639,1462.3537871504268,2583.310881801809,3333.0037937212664,3871.346708283504,269.8217372546201,470.7015860691991,465.6366433935912,266.5260150915079,293.7026717629373,-0.0184145364910364,-0.0086278868839144,0.5716717480660087,1.9473234919335165,7.498910735750475,0.3867562460821135,-20.353434214524427,0.8716064095497131,1.2146519422531128,0.4612819273643038,2.4938761423673865,6.170341684180657,0.3113456016250337,2.990704308950186,0.4700311670744213,-0.3316259883793223,1.500459488583056,2.1971106644685823,1.8209161596063987,1.3745467024012012,0.9715063021626232,1.100094739195617,3.089279032957656,4.228650694856202,5.844643735676156,4.919960080645484,2.586399273637268,0.5717324705763636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,VOW_o,2,112.72447012667982,112.28880858193143,3.826289904569936,2.239473444637973,17.95757807201738,18.86299426224563,0.1077291969161184,0.1031341602148614,0.024415996985559,18.327757776212263,18.41079663146437,0.0032604182693859,2.8933550681057045e-05,0.0013693322483671,0.0018273878751585,0.0041079967451013,0.0025552572241312,2.315397725425116e-05,0.0012976261189751,0.0016649687882074,0.0038928783569255,0.0298959613777751,0.0298959613777751,0.0138070520876644,0.017854227842704,0.0308276842764545,0.0414211562629934,0.0195050855460816,0.0195050855460816,0.0100286294124506,0.0118044231360468,0.0190190724631091,0.0300858882373519,521.7583928842446,1125.4482650858015,2250.1571153476207,3259.3837830808448,4268.883555402467,504.8293294404964,1073.485275169883,2204.831677543933,3241.085357876146,4343.527165052853,120.56720650606138,247.91811810487167,231.26627501761624,208.8042143197628,303.17729593064274,520.5059150280563,1124.5477444364535,2248.979089789372,3261.334914600973,4278.96724202538,502.4426670462354,1072.3991051018957,2204.5109082358404,3245.0852142281065,4332.369538073701,110.42436187337944,231.2334616923034,213.31425694923124,197.89020397597568,281.5565423227193,-0.0745221599936485,-0.0658324211835861,0.4563166128633382,1.289502553829849,4.475244143606847,0.3245328272771022,-20.78928185848604,1.1144386529922483,1.2043657302856443,0.6970138707285805,2.0102373013214216,3.9204738638922207,0.3607791325319757,3.238007737329569,1.9277522235103688,-2.2999396485524737,6.426488050448237,3.992876195412508,1.6149303947995846,4.792489780021651,1.0432290275168763,34.88300972506698,18.869538923407337,53.41207324631502,23.40460944669829,2.570574087204392,36.38077180529999,1.0674280088599355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,VOW_o,0,165.73854051154206,167.73639596729944,13.528738877967688,1.5161979909765797,12.51807426960361,11.739038558345316,0.0638341986307811,0.0621992745841886,0.0198544277715157,8.870514653695116,8.833808810908756,0.0061861526351716,3.739621435364652e-05,0.0033601870864026,0.0032335799361607,0.010080561259208,0.0046557739280724,2.771498002789238e-05,0.00265369642144,0.0028423161954263,0.0079610892643202,0.0450358855188985,0.0450358855188985,0.01700201440737,0.0231944945538084,0.0416801978319445,0.05100604322211,0.0351076806853835,0.0351076806853835,0.0148935866580963,0.0190561770662285,0.0332662133500809,0.044680759974289,764.7251907017753,1332.87123538053,2775.6500981498875,3945.1669043563584,4211.857205203624,748.5187825599672,1312.7864412885374,2787.0568853189707,4012.636466845386,4192.999565184079,140.33231997761308,307.2651609038565,192.0167400678509,226.0648260280869,159.37035912761112,762.9352960324285,1318.1119875613224,2770.677585103609,3934.3550969483817,4230.847126696726,762.1082671671679,1307.3437357231403,2778.1535301006584,3983.733283702189,4200.748710157482,132.9934727159237,261.8215047807298,162.39234846356592,186.81979641535776,169.73000187663345,-0.1397433876991272,-0.0048088659532368,1.239776244662991,1.9291105484383229,11.14969770481546,1.5739359144732168,-24.509045908660728,9.906245231628418,13.617778778076172,5.41340524717853,3.232722820822783,7.656083837444134,4.925547186351522,3.2757509387057127,0.4138108324396763,-0.2821570312724821,8.208464237326076,4.592933388067168,0.7303733577721879,4.301086338817667,0.9972761455099224,66.0470281446952,31.62819786281066,66.1187235535181,27.31553441472115,-0.1186487392762458,18.096971441888314,1.305894993847958,0.000686800062353,0.0016916911226003,0.0011178638184173,0.2976331739730019,0.2113349032296614,11.128111398440293,9.399513201662693,356.4305649248261,1749.659869046177,0.0001078374590049,0.0003654423555285,0.0002184442912131,0.0533332682329403,0.0273955400676626,1.8229818875126176,2.2030501257906265,922.5906896791608,5084.896878831727,-0.3277685211707409,0.9093065478683144,0.6034418453625722,0.1353764887755454,-0.5583929734776731,0.7110508909797868,0.7977684952184032,3.3019860605446016,3.332453664979528,-0.8094028475187689,0.5553453824714145,-0.2647641140677028,0.2395012712794906,-0.1241149199114937,0.0576588396260486,-0.2209193316358693,9.081937926704516,9.184500810167677
76,1,VOW_o,1,164.19267081241418,167.8352200762168,20.81481698675844,2.3601549281719296,13.312723072927696,9.855466111574303,0.0653676384944957,0.0645737173869516,0.0198853585843908,9.424354913983656,9.741829999755144,0.0069834420759572,4.231392678390418e-05,0.0037154893134946,0.0033914858195176,0.0111464679404838,0.0049992271198668,2.963493460409056e-05,0.0028318003469014,0.0027308576453931,0.0084954010407043,0.0481492055904343,0.0481492055904343,0.0243569349159006,0.0272540508021554,0.0368617867996273,0.0730708047477019,0.0333439940462964,0.0333439940462964,0.0184714428285567,0.0198445736345902,0.0234800143598983,0.0554143284856701,625.4987739796152,1089.1936137949992,2796.151208200774,4022.229301854424,4138.597742856219,541.6548706192409,1054.440012793287,2805.593406159759,4048.414716641839,4084.373546596374,172.3022392402599,112.15868222047628,75.02079174074849,118.33199564789297,206.5664859992117,632.8116067925775,1091.5726235161012,2794.591953013481,4025.870307152635,4122.057812363975,547.4162402298032,1053.9134402964312,2806.2606325127053,4050.114226075929,4063.5082786767966,171.98908446401435,111.2426887807363,72.61180840672019,110.04388038523354,207.0352613018362,-0.0244016796350479,-0.0212838668376207,1.6977213948760104,2.1089504887968773,9.571880994326294,1.9156470514298307,-23.46974102931588,11.014094352722168,15.773392677307127,5.833417554164321,3.865416703328968,7.46921345531617,4.952406086923121,3.850123945267412,0.3766040568823856,-0.1448300882950087,7.168202562866466,4.864035301238969,0.8230837967625854,3.953972681635215,1.3181058199863829,50.42729375273932,22.588340543634192,51.51181930876967,31.90513708351948,-0.380656801873787,15.474999334107814,2.138409172892022,0.0010980835927296,0.0027339534313129,0.0012057063939787,0.4633656100494197,0.1790858774158658,10.251887820860892,9.116061660233958,5.560999217967928,1791.949408060679,0.0010453729150837,0.0004452052224509,0.0002589736101245,0.0814637499842513,0.0289360326171346,2.357512018751462,2.1723709285710218,667.7540800070453,3303.565604021182,2.100812877572713,-0.5648445227673535,0.4725662124551223,-0.4405774940686973,0.0090284889413459,0.8119392589124352,0.5072049331492858,-1.4177371187754066,2.402818773386568,3.276385569725335,0.1201135422272754,-0.7706535897561158,-0.7155447073648702,-0.5655304265122032,0.1473295071155651,-0.5296237259006098,4.502765562544686,4.605740554765857
76,1,VOW_o,2,188.8603922505751,188.97973512898847,5.504064978067659,3.760266684244203,10.700343586085268,8.006017654455245,0.1011216825956893,0.0922851327833311,0.0407030938162887,9.340995014058832,8.2697905241505,0.0059956384082348,3.1758097678362275e-05,0.0032213192205307,0.0033777592428398,0.0096639576615921,0.0066504696314044,3.545503420683783e-05,0.0035809371400354,0.0036938660266982,0.0107428114201063,0.0523615179166912,0.0523615179166912,0.0222314267433988,0.0260023711653666,0.0422429462290863,0.0666942802301964,0.0501728019287552,0.0501728019287552,0.0239896641477223,0.0274107873825045,0.039176226528617,0.0719689924431669,515.9835696760974,1087.404593613836,2801.6050316761384,3950.083217401641,4297.086094421629,486.3590123858333,1103.5284381055008,2806.2919289575366,3961.506377463557,4257.081133327025,80.8956525893968,94.92998603160646,69.37161763981653,173.01104609535446,188.5609840524775,516.6432944630387,1087.365901167758,2799.1223060428447,3942.246905868838,4299.686236072983,487.771031994046,1105.550222823374,2804.007292449913,3962.029676680153,4293.409288387404,78.04139068249285,83.26487516301779,68.89629050838053,166.7113044195808,172.88929991695483,0.0625256672501564,-0.0100201303139328,0.7855412575009668,1.87359440189212,10.40977314477358,0.5379882691450063,-25.404321610033435,2.1897733211517334,2.6728708744049072,0.7460252918621553,4.138769281006189,7.606553015405163,0.4850873043111442,3.943998707292864,0.4305069292841657,0.4922072521440153,1.724477978946911,6.75755931963683,1.0338906270232482,2.4262919233555427,0.2186459103444656,1.7703328792238269,0.3071005099736892,3.473282770961596,55.11166817006327,0.996482029290186,9.340282548447489,1.1969497700449925,0.0002567451621898,0.0035559300178009,0.0011651444831391,0.3514090788307035,0.0851594564153379,10.006764296669589,7.478791848781318,-394.2803604941262,3539.814413093826,0.0001167868022863,0.0002647025171732,0.0001973223678856,0.027112055135856,0.0499845529792368,2.098559976090559,1.3566202199393993,1590.4497148002831,9543.63434804224,0.557380565652325,-0.0122273448850716,-0.5955828294655385,1.1291083131265054,3.403050044482081,0.1134060073654005,0.3129525864146151,-2.7255468169940467,2.7746813806792123,-0.498600331620326,-0.9415666696068588,-0.1644664365316299,1.802824068196272,15.561732050714134,-0.992416244108698,-0.6254606692294344,5.602967274750421,5.76052319750349
73,1,VOW_o,0,131.81573904527963,131.6364877416326,2.000542194190974,1.157486114568887,11.149577123203194,12.28399537808661,0.0653557088393519,0.0615937655230753,0.0175165560747346,10.354931554369664,10.48214618055461,0.0068546842687095,5.199325715658063e-05,0.0039688187090668,0.0041294298826902,0.0119064561272006,0.0071690608645676,5.45519591172896e-05,0.0041815445884909,0.0042720934112818,0.0125446337654727,0.0470811359742406,0.0470811359742406,0.0232423047712071,0.0286392983312206,0.0381393409421019,0.0697269143136213,0.0510684888061334,0.0510684888061334,0.0265512887534041,0.0338762235024363,0.0472534383135451,0.0796538662602125,601.8584150290372,1260.0937959983685,2532.015300212364,3773.478965694648,4405.8566967080105,548.6329086461576,951.5850132078584,2243.600969195505,3820.388781969399,4374.131895002948,188.10603213015025,525.1343508105635,578.0005595632971,225.5521575916933,354.5424567147278,612.0289889865869,1276.7272572964057,2548.60822687306,3788.998326886402,4423.245034058658,549.1807312720102,956.3190602527716,2277.962668575557,3830.346496018308,4379.699676968285,180.8798183681061,523.9618254366561,574.5927180386606,218.46617771041,351.33353444463154,-0.072926327586174,0.0245847087353467,0.6033900555704022,2.351933315150637,6.360588301475214,0.4195474560131613,-19.59965187357848,1.0534919500350952,1.5464835166931152,0.4367757118212451,3.4659240600384487,5.174836203778445,0.3038753618855683,2.806306948696403,-0.0640790906762734,0.0286154786080194,1.4264815274470453,3.3763743120737444,0.9205930644186666,0.8198839021146864,0.6543436567728349,0.4037088813711094,-0.4913989762775106,3.1953480426077823,14.995233693875573,0.5078155505954793,-0.02130453190995,-0.1637210104177886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,VOW_o,1,130.8261820574345,130.5221198926837,3.747629379845165,2.741693052063724,9.528119689986566,9.529394189402352,0.072945841804515,0.0675938845302238,0.0284013712158507,9.404271704974787,7.937172615283462,0.0066833190437561,5.1092439384994566e-05,0.0034819368278745,0.004157663364194,0.0104458104836237,0.006480125752107,5.002897202039874e-05,0.003627555550906,0.0043753830765244,0.0108826666527181,0.0586235962184813,0.0586235962184813,0.0308652875930117,0.0369127737690879,0.0498994287043551,0.0925958627790353,0.077111545087655,0.077111545087655,0.0379487211070181,0.0450643881651755,0.0664684526084911,0.1138461633210544,645.5621509594584,1489.9558128765912,2847.564018590212,3697.936430350907,4276.4484090437145,614.3176935717139,982.4002077281016,2532.942400602195,3641.15809192136,4177.7239788586685,198.6152932897505,653.6492113202787,518.8435817187525,257.6677837350585,271.8269885254489,642.1886999745504,1476.1651915971895,2838.9838024710293,3713.06278886492,4272.226313348992,620.5848698573374,990.3705087676194,2496.153457472434,3644.762765823781,4174.303694845883,197.9975642249996,642.7112984457494,510.9103146755486,280.7090851771086,267.5978818391897,-0.0746616199612617,0.0387588962912559,0.7984026078894146,1.6041819518545726,6.86521143965382,0.5336270573513427,-22.80117315344833,1.6172713041305542,2.3332526683807373,0.7691882530120098,1.934069121441724,5.201837536026257,0.5188054824762166,4.034390131225467,-0.4431831124699513,-0.3023253565705074,1.9247412436312064,1.519386082446571,0.7940273988321457,1.571056298659738,1.0276053522267807,2.311963492403734,1.931798262861438,4.7569667252079,2.273266069574692,-0.1989823176963931,2.149499775214468,0.3076083276662911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,VOW_o,2,109.47914629068414,112.8004790141392,29.7731575276689,1.6479553497017272,9.77472097777482,10.395536597062732,0.0867957294611405,0.0828035696589144,0.0343622314498088,10.980110931282816,11.757285993942611,0.004632021417323,4.232556747603277e-05,0.0022164977600725,0.0026784092011549,0.0066494932802175,0.0039661683164718,3.088238449649004e-05,0.0021783604618716,0.0024107684424356,0.0065350813856149,0.0347835921876872,0.0347835921876872,0.0149466379487698,0.0201882161844803,0.0346403381290809,0.0448399138463095,0.0285424894649259,0.0285424894649259,0.0151779334250913,0.0182118738691415,0.0269782887457812,0.0455338002752742,768.408935608204,1908.4411444024256,3168.5311050704986,3889.680309905754,4197.18063686413,847.4156325646559,2200.8112989451274,3450.523261735665,3926.79829273068,4182.527589790384,220.9857899897553,584.0145018062443,487.6589801995249,251.3906988309288,137.43456089384995,763.3840264748483,1919.124458000563,3173.2048697041905,3882.0620804415007,4212.786595486965,803.5211049578248,2180.022698058341,3439.005191540524,3861.126565738853,4183.105842329876,194.5754447089292,549.2592013458417,462.6931710582524,238.66247296344275,160.87931373700152,-0.0539856851100921,0.0201877430081367,0.8162385144608352,1.554679994464833,5.198292904430974,0.5962116646038084,-22.538868903981538,1.858379364013672,2.9256670475006104,1.0302527895701,2.3046088391859176,4.045223713693037,0.6394715890836292,3.6083581180442255,-2.1480611234047875,0.4224970053784666,4.894185283928184,2.8540203023287245,1.1845501259450286,3.64674893034766,0.9854602905467016,18.41176249041469,17.021383665506523,34.97676478676364,9.681626059257418,1.359860741073052,20.596961963749727,0.2364817202506959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,VOW_o,0,207.7262752238921,207.7264298251749,1.6846015947030726,1.2388994917290606,9.806497862894672,9.822115890926128,0.1643747039307398,0.1645722870190969,0.0313756483097945,13.036422077622491,13.292483796508897,0.0027960599378779,1.346256204434676e-05,0.0014850478614419,0.0015959671252536,0.0044551435843258,0.0022966206598932,1.1053098224973288e-05,0.001261010198231,0.0013816898995123,0.0037830305946931,0.0295639365120951,0.0295639365120951,0.0153446399611048,0.0174572177755938,0.0251936127509261,0.0460339198833145,0.0303707750060161,0.0303707750060161,0.0153945412896456,0.0183226193367884,0.0292918232787165,0.0461836238689369,661.8838629539572,1261.6086275635732,2675.88840715836,3933.1245170016414,4476.014475168801,662.3585925151748,1259.3992174809332,2679.317392107784,3964.064805844205,4484.59839321805,13.73686757286326,17.921257170015778,51.10398359124224,125.59029317236084,100.13412923836012,661.8470601553179,1261.5402469121016,2675.809376700803,3932.89734964104,4475.517458031629,662.0588291972763,1258.9495675146,2678.2669278208004,3974.1139383644695,4483.153532840536,13.915987200093427,17.944450560078202,50.83513639312292,124.88852235200514,96.8712324191416,0.0487917549908161,-0.0080462107434868,0.4721838109349123,3.144736173770206,4.854712516031092,0.3085749450558752,-12.83016807727579,1.3582288026809692,1.6533819437026978,0.4312855254040468,4.054230690105036,3.8318170091635673,0.2216405793482611,1.6780434228534926,0.4038579629534891,0.0501486292026193,2.089474521250004,1.771963382823105,1.3009742480980602,0.8739669906012021,-4.345731978720986,2.651516337771697,0.5405021541549697,6.960795210303722,3.407807724267025,2.052086795543945,0.5163676230110661,26.423675329384984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
